UNIX_Time,UTC_Date,UTC_Time,Latitude,North-South,Longitude,East-West
1645151925.3312964,180222,023841.70,3530.96358389,N,13932.71233549,E
1645151925.4312968,180222,023841.80,3530.96358389,N,13932.71233549,E
1645151925.5322967,180222,023841.90,3530.96358741,N,13932.71233668,E
1645151925.6322968,180222,023842.00,3530.96358741,N,13932.71233668,E
1645151925.7332969,180222,023842.10,3530.96358741,N,13932.71233668,E
1645151925.8346894,180222,023842.20,3530.96359171,N,13932.71233819,E
1645151925.9347768,180222,023842.30,3530.96359470,N,13932.71233959,E
1645151926.0267527,180222,023842.40,3530.96359470,N,13932.71233959,E
1645151926.1277528,180222,023842.50,3530.96359689,N,13932.71234100,E
1645151926.2277527,180222,023842.60,3530.96359689,N,13932.71234100,E
1645151926.3280907,180222,023842.70,3530.96359798,N,13932.71234489,E
1645151926.4280903,180222,023842.80,3530.96359798,N,13932.71234489,E
1645151926.5290904,180222,023842.90,3530.96359987,N,13932.71234752,E
1645151926.6300902,180222,023843.00,3530.96359987,N,13932.71234752,E
1645151926.7300901,180222,023843.10,3530.96359987,N,13932.71234752,E
1645151926.8302634,180222,023843.20,3530.96360207,N,13932.71235018,E
1645151926.931401,180222,023843.30,3530.96360458,N,13932.71235335,E
1645151927.0314004,180222,023843.40,3530.96360458,N,13932.71235335,E
1645151927.132401,180222,023843.50,3530.96360572,N,13932.71235734,E
1645151927.2323987,180222,023843.60,3530.96360572,N,13932.71235734,E
1645151927.3336575,180222,023843.70,3530.96360693,N,13932.71236100,E
1645151927.4346654,180222,023843.80,3530.96360693,N,13932.71236100,E
1645151927.534226,180222,023843.90,3530.96361037,N,13932.71236391,E
1645151927.6262262,180222,023844.00,3530.96361037,N,13932.71236391,E
1645151927.7272243,180222,023844.10,3530.96361037,N,13932.71236391,E
1645151927.8281028,180222,023844.20,3530.96361410,N,13932.71236531,E
1645151927.927978,180222,023844.30,3530.96361852,N,13932.71236642,E
1645151928.0289757,180222,023844.40,3530.96361852,N,13932.71236642,E
1645151928.1299756,180222,023844.50,3530.96361954,N,13932.71236869,E
1645151928.229975,180222,023844.60,3530.96361954,N,13932.71236869,E
1645151928.3309758,180222,023844.70,3530.96362149,N,13932.71237081,E
1645151928.4315314,180222,023844.80,3530.96362149,N,13932.71237081,E
1645151928.5320494,180222,023844.90,3530.96362179,N,13932.71237354,E
1645151928.6338193,180222,023845.00,3530.96362179,N,13932.71237354,E
1645151928.7337165,180222,023845.10,3530.96362179,N,13932.71237354,E
